scale,trt,component,estimate,SE,t,df,p,sig,adj_p,adj_sig
HAMD,E,(Intercept),18.47,0.77,24.12,48.28,<0.001,***,<0.001,***
HAMD,E,tpwk6,-4.71,0.92,-5.12,26,<0.001,***,<0.001,***
HAMD,E,exp,1.56,0.77,2.02,48.28,0.049,*,0.291,
HAMD,E,tpwk6:exp,-3.74,0.93,-4.02,26,<0.001,***,0.003,**
HAMD,P,(Intercept),19.18,0.72,26.58,48.89,<0.001,***,<0.001,***
HAMD,P,tpwk6,-11.29,1.01,-11.2,25.13,<0.001,***,<0.001,***
HAMD,P,exp,0.07,0.73,0.1,48.89,0.924,,1,
HAMD,P,tpwk6:exp,1.49,1.02,1.47,25.24,0.155,,0.928,
BDI,E,(Intercept),28.83,1.74,16.59,41.26,<0.001,***,<0.001,***
BDI,E,tpwk6,-10.56,1.72,-6.14,26,<0.001,***,<0.001,***
BDI,E,exp,1.47,1.75,0.84,41.26,0.408,,1,
BDI,E,tpwk6:exp,-4.36,1.74,-2.51,26,0.019,*,0.112,
BDI,P,(Intercept),28.79,1.68,17.15,49.99,<0.001,***,<0.001,***
BDI,P,tpwk6,-18.92,2.35,-8.04,25,<0.001,***,<0.001,***
BDI,P,exp,-1,1.69,-0.59,49.99,0.558,,1,
BDI,P,tpwk6:exp,2.07,2.37,0.87,25,0.391,,1,
MADRS,E,(Intercept),26.97,1.25,21.57,48.25,<0.001,***,<0.001,***
MADRS,E,tpwk6,-6.65,1.5,-4.43,26,<0.001,***,0.001,***
MADRS,E,exp,1.56,1.26,1.24,48.25,0.221,,1,
MADRS,E,tpwk6:exp,-4.91,1.52,-3.24,26,0.003,**,0.019,*
MADRS,P,(Intercept),27.64,1.3,21.31,48.25,<0.001,***,<0.001,***
MADRS,P,tpwk6,-15.47,1.73,-8.92,25.17,<0.001,***,<0.001,***
MADRS,P,exp,0.55,1.31,0.42,48.25,0.675,,1,
MADRS,P,tpwk6:exp,2.22,1.75,1.26,25.28,0.218,,1,
QIDS,E,(Intercept),16.7,0.92,18.24,44.72,<0.001,***,<0.001,***
QIDS,E,tpwk6,-6.35,1,-6.35,26,<0.001,***,<0.001,***
QIDS,E,exp,0.58,0.92,0.63,44.72,0.531,,1,
QIDS,E,tpwk6:exp,-2.18,1.01,-2.16,26,0.04,*,0.24,
QIDS,P,(Intercept),14.31,0.94,15.26,49.11,<0.001,***,<0.001,***
QIDS,P,tpwk6,-7.78,1.23,-6.31,25,<0.001,***,<0.001,***
QIDS,P,exp,-0.19,0.94,-0.21,49.11,0.838,,1,
QIDS,P,tpwk6:exp,0.77,1.24,0.62,25,0.542,,1,
STAIT,E,(Intercept),65.9,1.66,39.62,44.15,<0.001,***,<0.001,***
STAIT,E,tpwk6,-8.92,1.79,-4.99,26,<0.001,***,<0.001,***
STAIT,E,exp,-0.43,1.68,-0.26,44.15,0.799,,1,
STAIT,E,tpwk6:exp,-3.92,1.8,-2.17,26,0.039,*,0.234,
STAIT,P,(Intercept),63.71,1.84,34.55,50,<0.001,***,<0.001,***
STAIT,P,tpwk6,-16.91,2.61,-6.48,50,<0.001,***,<0.001,***
STAIT,P,exp,1.24,1.86,0.66,50,0.509,,1,
STAIT,P,tpwk6:exp,2.53,2.63,0.96,50,0.341,,1,
WEMWBS,E,(Intercept),30.45,1.5,20.36,46.45,<0.001,***,<0.001,***
WEMWBS,E,tpwk6,6.76,1.72,3.94,25.31,0.001,***,0.003,**
WEMWBS,E,exp,-1.34,1.49,-0.9,45.9,0.373,,1,
WEMWBS,E,tpwk6:exp,3.13,1.71,1.83,24.93,0.079,,0.476,
WEMWBS,P,(Intercept),28.79,1.8,15.97,47.74,<0.001,***,<0.001,***
WEMWBS,P,tpwk6,16.65,2.39,6.96,24.52,<0.001,***,<0.001,***
WEMWBS,P,exp,-0.03,1.85,-0.01,47.78,0.989,,1,
WEMWBS,P,tpwk6:exp,-4.03,2.44,-1.65,24.95,0.111,,0.665,
