"exp","scale","component","estimate","SE","t","df","p","sig","adj_p","adj_sig"
"AVG","HAMD","(Intercept)",18.57,0.74,25.13,98.09,"<0.001","***","<0.001","***"
"AVG","HAMD","tpwk6",-4.94,0.95,-5.21,50.53,"<0.001","***","<0.001","***"
"AVG","HAMD","trtP",0.62,1.05,0.58,98.09,"0.561","","1",""
"AVG","HAMD","exp",0.09,0.04,2.1,98.09,"0.038","*","0.23",""
"AVG","HAMD","tpwk6:trtP",-6.33,1.36,-4.64,51.09,"<0.001","***","<0.001","***"
"AVG","HAMD","tpwk6:exp",-0.22,0.06,-3.9,50.53,"<0.001","***","0.002","**"
"AVG","HAMD","trtP:exp",-0.09,0.06,-1.34,98.09,"0.182","","1",""
"AVG","HAMD","tpwk6:trtP:exp",0.31,0.08,3.72,51.25,"<0.001","***","0.003","**"
"AVG","BDI","(Intercept)",28.92,1.7,17.06,94.52,"<0.001","***","<0.001","***"
"AVG","BDI","tpwk6",-10.83,2.03,-5.33,51,"<0.001","***","<0.001","***"
"AVG","BDI","trtP",-0.13,2.42,-0.05,94.52,"0.957","","1",""
"AVG","BDI","exp",0.08,0.1,0.86,94.52,"0.393","","1",""
"AVG","BDI","tpwk6:trtP",-8.09,2.9,-2.79,51,"0.007","**","0.045","*"
"AVG","BDI","tpwk6:exp",-0.25,0.12,-2.13,51,"0.038","*","0.23",""
"AVG","BDI","trtP:exp",-0.15,0.15,-1,94.52,"0.319","","1",""
"AVG","BDI","tpwk6:trtP:exp",0.38,0.18,2.16,51,"0.035","*","0.211",""
"AVG","MADRS","(Intercept)",27.07,1.26,21.45,97.07,"<0.001","***","<0.001","***"
"AVG","MADRS","tpwk6",-6.96,1.59,-4.37,50.59,"<0.001","***","<0.001","***"
"AVG","MADRS","trtP",0.57,1.8,0.32,97.07,"0.751","","1",""
"AVG","MADRS","exp",0.09,0.07,1.23,97.07,"0.222","","1",""
"AVG","MADRS","tpwk6:trtP",-8.5,2.29,-3.71,51.14,"0.001","***","0.003","**"
"AVG","MADRS","tpwk6:exp",-0.28,0.09,-3.06,50.59,"0.004","**","0.021","*"
"AVG","MADRS","trtP:exp",-0.06,0.11,-0.51,97.07,"0.611","","1",""
"AVG","MADRS","tpwk6:trtP:exp",0.42,0.14,3.03,51.31,"0.004","**","0.023","*"
"AVG","QIDS","(Intercept)",16.74,0.92,18.23,95.02,"<0.001","***","<0.001","***"
"AVG","QIDS","tpwk6",-6.49,1.11,-5.85,51,"<0.001","***","<0.001","***"
"AVG","QIDS","trtP",-2.43,1.31,-1.86,95.02,"0.066","","0.399",""
"AVG","QIDS","exp",0.03,0.05,0.63,95.02,"0.53","","1",""
"AVG","QIDS","tpwk6:trtP",-1.29,1.58,-0.82,51,"0.418","","1",""
"AVG","QIDS","tpwk6:exp",-0.13,0.06,-1.95,51,"0.057","","0.339",""
"AVG","QIDS","trtP:exp",-0.05,0.08,-0.58,95.02,"0.566","","1",""
"AVG","QIDS","tpwk6:trtP:exp",0.17,0.1,1.81,51,"0.076","","0.456",""
"AVG","STAIT","(Intercept)",65.87,1.74,37.92,99.72,"<0.001","***","<0.001","***"
"AVG","STAIT","tpwk6",-9.17,2.26,-4.05,51,"<0.001","***","0.001","**"
"AVG","STAIT","trtP",-2.16,2.48,-0.87,99.72,"0.387","","1",""
"AVG","STAIT","exp",-0.02,0.1,-0.25,99.72,"0.807","","1",""
"AVG","STAIT","tpwk6:trtP",-7.73,3.23,-2.39,51,"0.02","*","0.123",""
"AVG","STAIT","tpwk6:exp",-0.23,0.13,-1.72,51,"0.092","","0.551",""
"AVG","STAIT","trtP:exp",0.1,0.15,0.68,99.72,"0.5","","1",""
"AVG","STAIT","tpwk6:trtP:exp",0.39,0.2,1.96,51,"0.056","","0.333",""
"AVG","WEMWBS","(Intercept)",30.32,1.62,18.76,95.82,"<0.001","***","<0.001","***"
"AVG","WEMWBS","tpwk6",7,2.03,3.45,49.26,"0.001","**","0.007","**"
"AVG","WEMWBS","trtP",-1.5,2.33,-0.64,96.08,"0.522","","1",""
"AVG","WEMWBS","exp",-0.08,0.09,-0.82,95.39,"0.411","","1",""
"AVG","WEMWBS","tpwk6:trtP",9.59,2.92,3.28,49.76,"0.002","**","0.011","*"
"AVG","WEMWBS","tpwk6:exp",0.18,0.12,1.54,48.48,"0.131","","0.784",""
"AVG","WEMWBS","trtP:exp",0.07,0.14,0.5,96.17,"0.62","","1",""
"AVG","WEMWBS","tpwk6:trtP:exp",-0.43,0.18,-2.41,49.94,"0.02","*","0.119",""
"RTX","HAMD","(Intercept)",19.36,0.88,22.1,97.79,"<0.001","***","<0.001","***"
"RTX","HAMD","tpwk6",-7.26,1.12,-6.49,50.55,"<0.001","***","<0.001","***"
"RTX","HAMD","trtP",-0.12,1.25,-0.1,97.79,"0.923","","1",""
"RTX","HAMD","exp",0.06,0.04,1.82,97.79,"0.071","","0.428",""
"RTX","HAMD","tpwk6:trtP",-4.68,1.63,-2.87,52.1,"0.006","**","0.036","*"
"RTX","HAMD","tpwk6:exp",-0.18,0.04,-4.11,50.55,"<0.001","***","0.001","***"
"RTX","HAMD","trtP:exp",-0.07,0.05,-1.37,97.79,"0.174","","1",""
"RTX","HAMD","tpwk6:trtP:exp",0.24,0.06,3.68,51.9,"0.001","***","0.003","**"
"RTX","BDI","(Intercept)",29.85,1.99,15,93.84,"<0.001","***","<0.001","***"
"RTX","BDI","tpwk6",-14.11,2.36,-5.97,51,"<0.001","***","<0.001","***"
"RTX","BDI","trtP",-0.81,2.85,-0.28,93.84,"0.778","","1",""
"RTX","BDI","exp",0.07,0.08,0.93,93.84,"0.354","","1",""
"RTX","BDI","tpwk6:trtP",-5.44,3.38,-1.61,51,"0.114","","0.683",""
"RTX","BDI","tpwk6:exp",-0.26,0.09,-2.72,51,"0.009","**","0.053",""
"RTX","BDI","trtP:exp",-0.1,0.11,-0.86,93.84,"0.394","","1",""
"RTX","BDI","tpwk6:trtP:exp",0.31,0.13,2.32,51,"0.024","*","0.146",""
"RTX","MADRS","(Intercept)",27.79,1.5,18.47,97.29,"<0.001","***","<0.001","***"
"RTX","MADRS","tpwk6",-9.83,1.91,-5.16,50.58,"<0.001","***","<0.001","***"
"RTX","MADRS","trtP",-0.44,2.15,-0.2,97.29,"0.838","","1",""
"RTX","MADRS","exp",0.06,0.06,0.97,97.29,"0.333","","1",""
"RTX","MADRS","tpwk6:trtP",-6.61,2.78,-2.38,52.12,"0.021","*","0.126",""
"RTX","MADRS","tpwk6:exp",-0.23,0.08,-3,50.58,"0.004","**","0.025","*"
"RTX","MADRS","trtP:exp",-0.04,0.08,-0.42,97.29,"0.675","","1",""
"RTX","MADRS","tpwk6:trtP:exp",0.31,0.11,2.8,51.93,"0.007","**","0.043","*"
"RTX","QIDS","(Intercept)",17.02,1.08,15.75,94.91,"<0.001","***","<0.001","***"
"RTX","QIDS","tpwk6",-7.95,1.3,-6.1,51,"<0.001","***","<0.001","***"
"RTX","QIDS","trtP",-2.71,1.55,-1.75,94.91,"0.083","","0.499",""
"RTX","QIDS","exp",0.02,0.04,0.53,94.91,"0.595","","1",""
"RTX","QIDS","tpwk6:trtP",-0.15,1.86,-0.08,51,"0.936","","1",""
"RTX","QIDS","tpwk6:exp",-0.12,0.05,-2.22,51,"0.031","*","0.186",""
"RTX","QIDS","trtP:exp",-0.02,0.06,-0.4,94.91,"0.688","","1",""
"RTX","QIDS","tpwk6:trtP:exp",0.14,0.07,1.92,51,"0.06","","0.361",""
"RTX","STAIT","(Intercept)",65.43,2.02,32.41,100.14,"<0.001","***","<0.001","***"
"RTX","STAIT","tpwk6",-12.29,2.65,-4.63,51,"<0.001","***","<0.001","***"
"RTX","STAIT","trtP",-2.95,2.89,-1.02,100.14,"0.31","","1",""
"RTX","STAIT","exp",-0.03,0.08,-0.43,100.14,"0.67","","1",""
"RTX","STAIT","tpwk6:trtP",-4.9,3.8,-1.29,51,"0.203","","1",""
