"exp","scale","trt","component","estimate","SE","t","df","p","sig","adj_p","adj_sig"
"AVG","HAMD","E","(Intercept)",18.5,0.77,24.16,48.28,"<0.001","***","<0.001","***"
"AVG","HAMD","E","tpwk6",-4.79,0.92,-5.2,26,"<0.001","***","<0.001","***"
"AVG","HAMD","E","exp",0.09,0.04,2.02,48.28,"0.049","*","0.291",""
"AVG","HAMD","E","tpwk6:exp",-0.22,0.05,-4.02,26,"<0.001","***","0.003","**"
"AVG","HAMD","P","(Intercept)",19.19,0.72,26.62,48.89,"<0.001","***","<0.001","***"
"AVG","HAMD","P","tpwk6",-11.21,1.01,-11.16,25.07,"<0.001","***","<0.001","***"
"AVG","HAMD","P","exp",0,0.05,0.1,48.89,"0.924","","1",""
"AVG","HAMD","P","tpwk6:exp",0.09,0.06,1.47,25.24,"0.155","","0.928",""
"AVG","BDI","E","(Intercept)",28.86,1.74,16.61,41.26,"<0.001","***","<0.001","***"
"AVG","BDI","E","tpwk6",-10.64,1.72,-6.19,26,"<0.001","***","<0.001","***"
"AVG","BDI","E","exp",0.08,0.1,0.84,41.26,"0.408","","1",""
"AVG","BDI","E","tpwk6:exp",-0.25,0.1,-2.51,26,"0.019","*","0.112",""
"AVG","BDI","P","(Intercept)",28.74,1.68,17.14,49.99,"<0.001","***","<0.001","***"
"AVG","BDI","P","tpwk6",-18.81,2.35,-8,25,"<0.001","***","<0.001","***"
"AVG","BDI","P","exp",-0.06,0.11,-0.59,49.99,"0.558","","1",""
"AVG","BDI","P","tpwk6:exp",0.13,0.15,0.87,25,"0.391","","1",""
"AVG","MADRS","E","(Intercept)",27,1.25,21.6,48.25,"<0.001","***","<0.001","***"
"AVG","MADRS","E","tpwk6",-6.75,1.5,-4.5,26,"<0.001","***","0.001","***"
"AVG","MADRS","E","exp",0.09,0.07,1.24,48.25,"0.221","","1",""
"AVG","MADRS","E","tpwk6:exp",-0.28,0.09,-3.24,26,"0.003","**","0.019","*"
"AVG","MADRS","P","(Intercept)",27.67,1.3,21.36,48.25,"<0.001","***","<0.001","***"
"AVG","MADRS","P","tpwk6",-15.36,1.73,-8.88,25.11,"<0.001","***","<0.001","***"
"AVG","MADRS","P","exp",0.03,0.08,0.42,48.25,"0.675","","1",""
"AVG","MADRS","P","tpwk6:exp",0.14,0.11,1.26,25.28,"0.218","","1",""
"AVG","QIDS","E","(Intercept)",16.71,0.92,18.26,44.72,"<0.001","***","<0.001","***"
"AVG","QIDS","E","tpwk6",-6.39,1,-6.39,26,"<0.001","***","<0.001","***"
"AVG","QIDS","E","exp",0.03,0.05,0.63,44.72,"0.531","","1",""
"AVG","QIDS","E","tpwk6:exp",-0.13,0.06,-2.16,26,"0.04","*","0.24",""
"AVG","QIDS","P","(Intercept)",14.3,0.94,15.28,49.11,"<0.001","***","<0.001","***"
"AVG","QIDS","P","tpwk6",-7.74,1.23,-6.29,25,"<0.001","***","<0.001","***"
