"exp","scale","trt","component","estimate","SE","t","df","p","sig","adj_p","adj_sig"
"AVG","HAMD","E","(Intercept)",18.41,0.83,22.21,53.76,"<0.001","***","<0.001","***"
"AVG","HAMD","E","tpwk6",-4.86,1.13,-4.29,27,"<0.001","***","0.001","**"
"AVG","HAMD","E","modtas",0,0.06,0.07,53.76,"0.946","","1",""
"AVG","HAMD","E","tpwk6:modtas",0.01,0.09,0.14,27,"0.891","","1",""
"AVG","HAMD","P","(Intercept)",19.2,0.73,26.34,53.83,"<0.001","***","<0.001","***"
"AVG","HAMD","P","tpwk6",-10.87,1.02,-10.67,28.16,"<0.001","***","<0.001","***"
"AVG","HAMD","P","modtas",0,0.04,-0.05,53.83,"0.958","","1",""
"AVG","HAMD","P","tpwk6:modtas",-0.12,0.06,-1.99,27.59,"0.056","","0.338",""
"AVG","BDI","E","(Intercept)",28.69,1.74,16.48,45.35,"<0.001","***","<0.001","***"
"AVG","BDI","E","tpwk6",-10.83,1.85,-5.86,27,"<0.001","***","<0.001","***"
"AVG","BDI","E","modtas",-0.03,0.13,-0.22,45.35,"0.823","","1",""
"AVG","BDI","E","tpwk6:modtas",-0.08,0.14,-0.56,27,"0.578","","1",""
"AVG","BDI","P","(Intercept)",29.07,1.59,18.3,54.63,"<0.001","***","<0.001","***"
"AVG","BDI","P","tpwk6",-18.4,2.06,-8.93,28,"<0.001","***","<0.001","***"
"AVG","BDI","P","modtas",0.04,0.1,0.39,54.63,"0.696","","1",""
"AVG","BDI","P","tpwk6:modtas",-0.31,0.13,-2.5,28,"0.019","*","0.112",""
"AVG","MADRS","E","(Intercept)",26.86,1.34,20.06,52.7,"<0.001","***","<0.001","***"
"AVG","MADRS","E","tpwk6",-7.03,1.74,-4.05,27,"<0.001","***","0.002","**"
"AVG","MADRS","E","modtas",-0.03,0.1,-0.28,52.7,"0.784","","1",""
"AVG","MADRS","E","tpwk6:modtas",0.03,0.13,0.23,27,"0.819","","1",""
"AVG","MADRS","P","(Intercept)",27.93,1.31,21.25,51.14,"<0.001","***","<0.001","***"
"AVG","MADRS","P","tpwk6",-14.88,1.65,-9,27.28,"<0.001","***","<0.001","***"
"AVG","MADRS","P","modtas",-0.01,0.08,-0.17,51.14,"0.863","","1",""
"AVG","MADRS","P","tpwk6:modtas",-0.21,0.1,-2.1,26.75,"0.046","*","0.274",""
"AVG","QIDS","E","(Intercept)",16.45,0.94,17.45,46.46,"<0.001","***","<0.001","***"
"AVG","QIDS","E","tpwk6",-6.38,1.03,-6.19,27,"<0.001","***","<0.001","***"
"AVG","QIDS","E","modtas",0.02,0.07,0.25,46.46,"0.801","","1",""
