"exp","scale","trt","component","estimate","SE","t","df","p","sig","adj_p","adj_sig"
"RTX","HAMD","E","(Intercept)",18.52,0.75,24.66,47.89,"<0.001","***","<0.001","***"
"RTX","HAMD","E","tpwk6",-4.84,0.89,-5.42,26,"<0.001","***","<0.001","***"
"RTX","HAMD","E","exp",1.36,0.76,1.79,47.89,"0.079","","0.476",""
"RTX","HAMD","E","tpwk6:exp",-3.91,0.9,-4.34,26,"<0.001","***","0.001","**"
"RTX","HAMD","P","(Intercept)",19.17,0.74,25.75,48.83,"<0.001","***","<0.001","***"
"RTX","HAMD","P","tpwk6",-11.06,1.03,-10.76,24.92,"<0.001","***","<0.001","***"
"RTX","HAMD","P","exp",-0.08,0.75,-0.11,48.83,"0.912","","1",""
"RTX","HAMD","P","tpwk6:exp",1.16,1.05,1.1,25.95,"0.279","","1",""
"RTX","BDI","E","(Intercept)",28.88,1.7,17,39.62,"<0.001","***","<0.001","***"
"RTX","BDI","E","tpwk6",-10.72,1.6,-6.72,26,"<0.001","***","<0.001","***"
"RTX","BDI","E","exp",1.58,1.71,0.92,39.62,"0.364","","1",""
"RTX","BDI","E","tpwk6:exp",-5.47,1.61,-3.4,26,"0.002","**","0.013","*"
"RTX","BDI","P","(Intercept)",28.68,1.7,16.87,50,"<0.001","***","<0.001","***"
"RTX","BDI","P","tpwk6",-18.66,2.4,-7.78,25,"<0.001","***","<0.001","***"
"RTX","BDI","P","exp",-0.48,1.7,-0.28,50,"0.779","","1",""
"RTX","BDI","P","tpwk6:exp",1.14,2.4,0.47,25,"0.64","","1",""
"RTX","MADRS","E","(Intercept)",27.02,1.24,21.74,48.61,"<0.001","***","<0.001","***"
"RTX","MADRS","E","tpwk6",-6.82,1.51,-4.52,26,"<0.001","***","0.001","***"
"RTX","MADRS","E","exp",1.25,1.25,0.99,48.61,"0.325","","1",""
"RTX","MADRS","E","tpwk6:exp",-4.87,1.52,-3.2,26,"0.004","**","0.022","*"
"RTX","MADRS","P","(Intercept)",27.73,1.33,20.85,48.19,"<0.001","***","<0.001","***"
"RTX","MADRS","P","tpwk6",-15.14,1.76,-8.59,24.93,"<0.001","***","<0.001","***"
"RTX","MADRS","P","exp",0.5,1.33,0.37,48.19,"0.71","","1",""
"RTX","MADRS","P","tpwk6:exp",1.69,1.81,0.94,25.94,"0.358","","1",""
"RTX","QIDS","E","(Intercept)",16.72,0.9,18.52,44.31,"<0.001","***","<0.001","***"
"RTX","QIDS","E","tpwk6",-6.43,0.98,-6.59,26,"<0.001","***","<0.001","***"
"RTX","QIDS","E","exp",0.49,0.91,0.54,44.31,"0.593","","1",""
"RTX","QIDS","E","tpwk6:exp",-2.46,0.98,-2.5,26,"0.019","*","0.115",""
"RTX","QIDS","P","(Intercept)",14.29,0.95,15.12,49.17,"<0.001","***","<0.001","***"
"RTX","QIDS","P","tpwk6",-7.67,1.25,-6.15,25,"<0.001","***","<0.001","***"
"RTX","QIDS","P","exp",-0.03,0.95,-0.03,49.17,"0.972","","1",""
"RTX","QIDS","P","tpwk6:exp",0.56,1.25,0.45,25,"0.657","","1",""
"RTX","STAIT","E","(Intercept)",65.88,1.57,42.06,43.65,"<0.001","***","<0.001","***"
"RTX","STAIT","E","tpwk6",-9.07,1.66,-5.46,26,"<0.001","***","<0.001","***"
"RTX","STAIT","E","exp",-0.73,1.58,-0.46,43.65,"0.645","","1",""
"RTX","STAIT","E","tpwk6:exp",-5.2,1.68,-3.1,26,"0.005","**","0.028","*"
"RTX","STAIT","P","(Intercept)",64.05,1.88,34.03,50,"<0.001","***","<0.001","***"
"RTX","STAIT","P","tpwk6",-16.69,2.66,-6.27,50,"<0.001","***","<0.001","***"
"RTX","STAIT","P","exp",2.02,1.88,1.07,50,"0.288","","1",""
"RTX","STAIT","P","tpwk6:exp",0.64,2.66,0.24,50,"0.812","","1",""
"RTX","WEMWBS","E","(Intercept)",30.47,1.49,20.39,46.47,"<0.001","***","<0.001","***"
"RTX","WEMWBS","E","tpwk6",6.81,1.72,3.95,24.76,"0.001","***","0.003","**"
"RTX","WEMWBS","E","exp",-0.64,1.53,-0.42,47.05,"0.677","","1",""
"RTX","WEMWBS","E","tpwk6:exp",2.95,1.76,1.67,25.2,"0.107","","0.641",""
"RTX","WEMWBS","P","(Intercept)",28.64,1.83,15.67,47.92,"<0.001","***","<0.001","***"
"RTX","WEMWBS","P","tpwk6",16.07,2.47,6.5,24.11,"<0.001","***","<0.001","***"
"RTX","WEMWBS","P","exp",-0.88,1.78,-0.49,47.9,"0.625","","1",""
"RTX","WEMWBS","P","tpwk6:exp",-2.96,2.44,-1.21,23.48,"0.237","","1",""
