"exp","scale","trt","component","estimate","SE","t","df","p","sig","adj_p","adj_sig"
"RTX","HAMD","E","(Intercept)",18.4,0.84,21.87,53.76,"<0.001","***","<0.001","***"
"RTX","HAMD","E","tpwk6",-4.89,1.15,-4.25,27,"<0.001","***","0.001","**"
"RTX","HAMD","E","modtas",0.06,0.84,0.07,53.76,"0.946","","1",""
"RTX","HAMD","E","tpwk6:modtas",0.16,1.14,0.14,27,"0.891","","1",""
"RTX","HAMD","P","(Intercept)",19.21,0.75,25.72,53.83,"<0.001","***","<0.001","***"
"RTX","HAMD","P","tpwk6",-10.42,1.04,-9.99,28.14,"<0.001","***","<0.001","***"
"RTX","HAMD","P","modtas",-0.04,0.74,-0.05,53.83,"0.958","","1",""
"RTX","HAMD","P","tpwk6:modtas",-2.02,1.02,-1.99,27.59,"0.056","","0.338",""
"RTX","BDI","E","(Intercept)",28.76,1.77,16.28,45.35,"<0.001","***","<0.001","***"
"RTX","BDI","E","tpwk6",-10.65,1.87,-5.68,27,"<0.001","***","<0.001","***"
"RTX","BDI","E","modtas",-0.39,1.76,-0.22,45.35,"0.823","","1",""
"RTX","BDI","E","tpwk6:modtas",-1.05,1.86,-0.56,27,"0.578","","1",""
"RTX","BDI","P","(Intercept)",28.93,1.63,17.77,54.63,"<0.001","***","<0.001","***"
"RTX","BDI","P","tpwk6",-17.25,2.11,-8.17,28,"<0.001","***","<0.001","***"
"RTX","BDI","P","modtas",0.63,1.6,0.39,54.63,"0.696","","1",""
"RTX","BDI","P","tpwk6:modtas",-5.19,2.08,-2.5,28,"0.019","*","0.112",""
"RTX","MADRS","E","(Intercept)",26.93,1.36,19.82,52.7,"<0.001","***","<0.001","***"
"RTX","MADRS","E","tpwk6",-7.1,1.76,-4.03,27,"<0.001","***","0.002","**"
"RTX","MADRS","E","modtas",-0.37,1.35,-0.28,52.7,"0.784","","1",""
"RTX","MADRS","E","tpwk6:modtas",0.4,1.75,0.23,27,"0.819","","1",""
"RTX","MADRS","P","(Intercept)",27.98,1.35,20.78,51.14,"<0.001","***","<0.001","***"
"RTX","MADRS","P","tpwk6",-14.12,1.69,-8.34,27.26,"<0.001","***","<0.001","***"
"RTX","MADRS","P","modtas",-0.23,1.33,-0.17,51.14,"0.863","","1",""
"RTX","MADRS","P","tpwk6:modtas",-3.45,1.65,-2.1,26.75,"0.046","*","0.274",""
"RTX","QIDS","E","(Intercept)",16.41,0.96,17.15,46.46,"<0.001","***","<0.001","***"
"RTX","QIDS","E","tpwk6",-6.21,1.05,-5.94,27,"<0.001","***","<0.001","***"
"RTX","QIDS","E","modtas",0.24,0.95,0.25,46.46,"0.801","","1",""
"RTX","QIDS","E","tpwk6:modtas",-0.99,1.04,-0.95,27,"0.35","","1",""
"RTX","QIDS","P","(Intercept)",14.67,0.9,16.36,53.55,"<0.001","***","<0.001","***"
"RTX","QIDS","P","tpwk6",-7.29,1.12,-6.48,28,"<0.001","***","<0.001","***"
"RTX","QIDS","P","modtas",-0.63,0.88,-0.72,53.55,"0.476","","1",""
"RTX","QIDS","P","tpwk6:modtas",-1.69,1.11,-1.52,28,"0.139","","0.831",""
"RTX","STAIT","E","(Intercept)",65.63,1.75,37.49,46.26,"<0.001","***","<0.001","***"
"RTX","STAIT","E","tpwk6",-8.96,1.9,-4.71,27,"<0.001","***","<0.001","***"
"RTX","STAIT","E","modtas",-0.06,1.74,-0.03,46.26,"0.975","","1",""
"RTX","STAIT","E","tpwk6:modtas",-0.03,1.89,-0.02,27,"0.986","","1",""
"RTX","STAIT","P","(Intercept)",64.07,1.84,34.91,56,"<0.001","***","<0.001","***"
"RTX","STAIT","P","tpwk6",-16.07,2.6,-6.19,56,"<0.001","***","<0.001","***"
"RTX","STAIT","P","modtas",1.05,1.81,0.58,56,"0.562","","1",""
"RTX","STAIT","P","tpwk6:modtas",-4.82,2.55,-1.89,56,"0.064","","0.387",""
"RTX","WEMWBS","E","(Intercept)",30.42,1.47,20.67,50.13,"<0.001","***","<0.001","***"
"RTX","WEMWBS","E","tpwk6",6.75,1.78,3.78,26.44,"0.001","***","0.005","**"
"RTX","WEMWBS","E","modtas",2.17,1.44,1.51,49.75,"0.137","","0.825",""
"RTX","WEMWBS","E","tpwk6:modtas",0.49,1.75,0.28,26.02,"0.781","","1",""
"RTX","WEMWBS","P","(Intercept)",28.47,1.73,16.47,53.52,"<0.001","***","<0.001","***"
"RTX","WEMWBS","P","tpwk6",15.46,2.27,6.82,27.01,"<0.001","***","<0.001","***"
"RTX","WEMWBS","P","modtas",0.6,1.66,0.36,53.4,"0.721","","1",""
"RTX","WEMWBS","P","tpwk6:modtas",4.1,2.2,1.86,26.31,"0.073","","0.441",""
